,method,fold,Age,Sex,Steroid,Antivirals,Fatigue,Malaise,Anorexia,Liver Big,Liver Firm,Spleen Palpable,Spiders,Ascites,Varices,Bilirubin,Alk Phosphate,Sgot,Albumin,Protime,Histology
20,support_relevance_centrality,1,0.0,0.0,0.0,0.0,0.0004901189940349705,0.0,0.0,0.0,0.0,0.0,0.1544225749651733,0.0,0.0,0.07442269700899408,0.03737194903479199,0.0,0.5234031740708678,0.2098894859261379,0.0
21,confidence_relevance_centrality,1,0.0,0.0,0.0,0.0,0.002128717355934878,0.0,0.0,0.0,0.0,0.0,0.07092357004943853,0.0,0.0,0.032426684503232384,0.049410773986737815,0.0,0.7589133286148484,0.08619692548980802,0.0
22,lift_relevance_centrality,1,0.0,0.0,0.0,0.0,0.002331894362479947,0.0,0.0,0.0,0.0,0.0,0.04088388714360505,0.0,0.0,0.01803598783442014,0.0308065107380141,0.0,0.8618397308592117,0.04610198906226902,0.0
23,equal_relevance_centrality,1,0.0,0.0,0.0,0.0,0.002098442236655482,0.0,0.0,0.0,0.0,0.0,0.07644064520171644,0.0,0.0,0.036682848495341314,0.051687166911920504,0.0,0.7481198846273316,0.08497101252703469,0.0
24,relevance_relevance_centrality,1,0.0,0.0,0.0,0.0,0.0007424939072602667,0.0,0.0,0.0,0.0,0.0,0.08047460919929512,0.0,0.0,0.03754971059711958,0.029002042165769883,0.0,0.7564497577583044,0.09578138637225078,0.0
25,perm,2,0.0,-0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666665,0.0,-1.4999999999999998,0.0,0.0,1.8333333333333333,0.0,0.0
26,gini,2,0.0,0.04955640963037271,0.0,0.0,0.0,0.14755076825709917,0.0,0.016059947565398528,0.0,0.0,0.0,0.04697534662879076,0.0,0.33191112514203824,0.08052916564935557,0.01381599720718136,0.1129395840903746,0.20066165582938908,0.0
27,shap,2,0.0,0.017051626204887472,0.0,0.0,0.0,0.16755832582510705,0.0,0.056548759284001486,0.0,0.0,0.0,0.04215057687284711,0.0,0.3214237439031846,0.032624284974597594,0.0,0.03721955549401492,0.32542312744135965,0.0
28,support_impurity_centrality,2,0.0,0.09678232096884533,0.0,0.0,0.0,0.46845015472413487,0.0,0.01273410270211517,0.0,0.0,0.0,0.0,0.0,0.19603481341191367,0.027586437745141162,0.0,0.028362897846101017,0.1700492726017488,0.0
29,confidence_impurity_centrality,2,0.0,0.11771492102445993,0.0,0.0,0.0,0.4006907456624941,0.0,0.015607594648928197,0.0,0.0,0.0,0.0,0.0,0.20624731899862722,0.04483781985489867,0.0,0.08400098597659278,0.13090061383399895,0.0
30,lift_impurity_centrality,2,0.0,0.14749417342694093,0.0,0.0,0.0,0.3600427313792739,0.0,0.02180437978450447,0.0,0.0,0.0,0.0,0.0,0.13421435829771344,0.03742384958141694,0.0,0.11633423429180302,0.18268627323834724,0.0
31,equal_impurity_centrality,2,0.0,0.11695027426817692,0.0,0.0,0.0,0.3980879585537996,0.0,0.01759566799126675,0.0,0.0,0.0,0.0,0.0,0.20926423265885266,0.04454656456446929,0.0,0.08349545571019791,0.13005984625323688,0.0
32,relevance_impurity_centrality,2,0.0,0.1262123649689324,0.0,0.0,0.0,0.4560387072666092,0.0,0.016964585152541654,0.0,0.0,0.0,0.0,0.0,0.12460505296984904,0.0279863720144547,0.0,0.024535110591876085,0.22365780703573687,0.0
